"title","description","brand","model","type","price","image_url","city","town","address","doors","passengers","transmission","luggage","air_condition"
"Audi A4","Rent an Audi A4 in Karachi","Audi","A4","Luxury","25000","https://farhanrentacar.com/wp-content/uploads/2024/08/Audi-A4-Transparent-PNG.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Audi A5","Rent an Audi A5 in Karachi","Audi","A5","Luxury","30000","https://farhanrentacar.com/wp-content/uploads/2024/08/Audi-A5-PNG-Picture.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Mercedes CLA200","Rent a Mercedes CLA200 in Karachi","Mercedes","CLA200","Luxury","30000","https://farhanrentacar.com/wp-content/uploads/2024/08/pngegg-1.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Mercedes S Class S400","Rent a Mercedes S-Class S400 in Karachi","Mercedes","S Class S400","Luxury","","https://farhanrentacar.com/wp-content/uploads/2024/08/s400.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Honda BRV","Rent a Honda BR-V in Karachi","Honda","BRV","Sedan","8500","https://farhanrentacar.com/wp-content/uploads/2024/08/pngwing.com-2.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","7","Auto","2","Yes"
"Toyota Fortuner","Rent a Toyota Fortuner in Karachi","Toyota","Fortuner","SUV","15000","https://farhanrentacar.com/wp-content/uploads/2024/08/c785a9f7d6f55c93d3a006b97f810019.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","7","Auto","2","Yes"
"Toyota Prado","Rent a Toyota Prado in Karachi Travel in style and authority with [&hellip;]","Toyota","Prado","SUV","15000","https://farhanrentacar.com/wp-content/uploads/2024/08/95b6666fd8a7b7513ae6023aca5b2b32.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","5","7","Auto","3","Yes"
"Toyota Revo","Rent a Toyota Revo in Karachi Need a vehicle that delivers strength [&hellip;]","Toyota","Revo","SUV","10000","https://farhanrentacar.com/wp-content/uploads/2024/08/Toyota-Revo.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","5","Auto","2","Yes"
"Kia Sportage","Rent a Kia Sportage in Karachi Need a powerful and stylish SUV [&hellip;]","KIA","Sportage","SUV","12000","https://farhanrentacar.com/wp-content/uploads/2024/08/pngwing.com-3.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","5","Auto","2","Yes"
"Hyundai Tucson","Rent a Hyundai Tucson in Karachi Want to travel in style with [&hellip;]","Hyundai","Hyundai Tucson","SUV","12000","https://farhanrentacar.com/wp-content/uploads/2024/08/pngwing.com-4.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Suzuki Alto","Know about our car service Looking for a reliable and economical car [&hellip;]","Suzuki","Alto","Hatchback/Small","4500","https://farhanrentacar.com/wp-content/uploads/2024/08/alto.jpg","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","1","Yes"
"Suzuki Cultus","Rent a Suzuki Cultus in Karachi Need a smooth and budget-friendly ride [&hellip;]","Suzuki","Cultus","Hatchback/Small","4500","https://farhanrentacar.com/wp-content/uploads/2024/08/Suzuki-Cultus.webp","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","1","Yes"
"Suzuki Wagon R","Rent a Suzuki Wagon R in Karachi Looking for a reliable car [&hellip;]","Suzuki","Wagon R","Hatchback/Small","4500","https://farhanrentacar.com/wp-content/uploads/2024/08/e0022e010836c5eb60e25f2f09849234.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto/Manual","2","Yes"
"Toyota Coaster 4C","Rent a Toyota Coaster 4C in Karachi Planning a group trip or [&hellip;]","Toyota","Coaster 4C","Van/Bus","20000","https://farhanrentacar.com/wp-content/uploads/2024/08/7a36ce75b7fa1f944e6b03834678b040.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","3","24","Auto","4","Yes"
